#
# IPA Symbols
#
# Version: 0.0.8
# Date:    2016-06-07
#
# Syntax:
# desc,unic
#
# desc = description of the IPA symbol
# unic = Unicode hexadecimal code point(s):
#        N/A       = Unicode codepoint not available
#        xxxx      = single Unicode codepoint
#        xxxx xxxx = alternative Unicode codepoints, the first is the canonical
#        xxxx_xxxx = sequence of Unicode codepoints
#
#
# Notes:
#   1. Articulations believed to be impossible are not listed
more-rounded                diacritic,0339
less-rounded                diacritic,031C
advanced                    diacritic,031F
retracted                   diacritic,0320
centralized                 diacritic,0308
mid-centralized             diacritic,033D
syllabic                    diacritic,0329
non-syllabic                diacritic,032F
rhotacized                  diacritic,02DE
breathy-voiced              diacritic,0324
creaky-voiced               diacritic,0330
linguolabial                diacritic,032B
labialized                  diacritic,02B7
palatalized                 diacritic,02B2
velarized                   diacritic,02E0
pharyngealized              diacritic,02E4
velarized-or-pharyngealized diacritic,0334
raised                      diacritic,031D
lowered                     diacritic,031E
advanced-tongue-root        diacritic,0318
retracted-tongue-root       diacritic,0319
dental                      diacritic,032A
apical                      diacritic,033A
laminal                     diacritic,033B
nasalized                   diacritic,0303
nasal-release               diacritic,N/A
lateral-release             diacritic,02E1
no-audible-release          diacritic,031A 02FA

# NOT in IPA chart
voiced glottal fricative    diacritic,02B1
alveolar trill              diacritic,02B3
alveolar approximant        diacritic,02B4
retroflex approximant       diacritic,02B5
uvular approximant          diacritic,02B6
glottal plosive             diacritic,02C0
retroflex                   diacritic,0322
unexploded                  diacritic,02DA





######################
#   SUPRASEGMENTAL   #
######################

primary-stress              suprasegmental,02C8
secondary-stress            suprasegmental,02CC
long                        suprasegmental,02D0
half-long                   suprasegmental,02D1
extra-short                 suprasegmental,0306
minor-group                 suprasegmental,007C
major-group                 suprasegmental,007C_007C
syllable-break              suprasegmental,002E
linking                     suprasegmental,203F
word-break                  suprasegmental,0020





############
#   TONE   #
############

extra-high-level            tone,030B 02E5
high-level                  tone,0301 02E6
mid-level                   tone,0304 02E7
low-level                   tone,0300 02E8
extra-low-level             tone,030F 02E9
rising-contour              tone,030C N/A
falling-contour             tone,0302 N/A
high-rising-contour         tone,1DC4 N/A
low-rising-contour          tone,1DC5 N/A
rising-falling-contour      tone,1DC8 N/A
downstep                    tone,A71C
upstep                      tone,A71B
global-rise                 tone,2197
global-fall                 tone,2198

# NOT in IPA chart
mid-low-falling-contour     tone,1DC6
high-mid-falling-contour    tone,1DC7
falling-rising-contour      tone,1DC9

